City,Hotel,Price,Star Rating,Review
Norwich,Mercure Norwich,65.8,3,67.0
Norwich,Stracey Hotel,74.68,3,83.0
Norwich,Lansdowne Hotel and conference Centre Limited,30.88,3,65.0
Norwich,Abbey Guest House,66.48,3,89.0
Norwich,Best Western Annesley House Hotel,86.08,3,85.0
Norwich,Holiday Inn Norwich North,79.54,3,72.0
Norwich,Marriott Sprowston Manor Hotel & Country Club,121.0,3,87.0
Norwich,The Brook,63.29,3,74.0
Norwich,Catton Old Hall,99.54,4,90.0
London,Best Western Victoria Palace,114.77,3,77.0
London,Club Quarters Trafalgar Square,99.03,4,83.0
London,Beauchamp,94.8,4,83.0
London,Grange St Paul's,112.55,5,87.0
London,Novotel London Blackfriars,147.04,4,87.0
London,Dolphin House,117.44,4,82.0
London,Strand Palace Hotel,146.06,4,81.0
London,Club Quarters Lincoln's Inn Fields,120.03,4,87.0
London,The Grand at Trafalgar Square,141.74,4,82.0
London,Kingsway Hall,146.99,4,84.0
Oxford,Oxford Thames Four Pillars,124.43,4,86.0
Oxford,Randolph,182.62,5,80.0
Oxford,Holiday Inn Oxford,96.8,4,81.0
Oxford,Jurys Inn Oxford,64.58,4,72.0
Oxford,Cotswold Lodge,120.94,4,80.0
Oxford,Hawkwell House,104.94,3,83.0
Oxford,Oxford Spires Four Pillars,138.56,4,79.0
Oxford,Malmaison Oxford,212.82,4,83.0
Oxford,Old Parsonage,270.08,4,91.0
Oxford,Westwood Country,85.81,3,80.0
Leicester,Holiday Inn Leicester,94.4,3,81.0
Leicester,Ibis Leicester City,60.64,3,79.0
Leicester,Ramada Leicester Stage,54.57,3,66.0
Leicester,Holiday Inn Express Leicester - Walkers Stadium,76.8,3,77.0
Leicester,Campanile Hotel Leicester,57.7,2,72.0
Leicester,Hilton Leicester,74.05,4,76.0
Leicester,Marriott Leicester,83.3,3,85.0
Leicester,College Court Conference Centre,89.66,4,87.0
Leicester,Days Inn Leicester Forest East M1,47.39,3,76.0
Exeter,ABode Exeter,111.55,4,80.0
Exeter,Jurys Inn Exeter,61.65,3,82.0
Exeter,The Magdalen Chapter,118.62,4,87.0
Exeter,Mercure Southgate,149.59,4,84.0
Exeter,The Rougemont,99.74,4,83.0
Exeter,"Holiday Inn Express Exeter M5, Jct 29",79.3,3,85.0
Exeter,Queens Court Hotel,77.07,3,80.0
Exeter,Telstar Guest House Exeter,60.33,4,83.0
Exeter,Buckerell Lodge,64.6,4,80.0
Exeter,Culm Vale Country House,67.93,4,83.0
Bath,Parade Park,149.02,2,74.0
Bath,The Royal Crescent Hotel & Spa,294.26,5,93.0
Bath,Macdonald Bath Spa,224.83,5,85.0
Bath,Tasburgh House,180.22,5,92.0
Bath,High Beeches B & B,85.73,4,88.0
Bath,Francis Hotel Bath - MGallery Collection,249.76,4,88.0
Bath,Homewood Park,185.61,4,81.0
Bath,The Edgar Townhouse,169.87,3,85.0
Bath,The Bath Priory,552.38,5,92.0
Bath,The Ayrlington,275.53,5,87.0
Newquay,Victoria,45.34,3,80.0
Newquay,Best Western Bristol,67.27,3,82.0
Newquay,Glendorgal,52.9,3,78.0
Newquay,Invernook Hotel,50.16,3,93.0
Newquay,Pine Lodge,59.74,4,82.0
Newquay,Trevellis Guest House,65.08,3,91.0
Newquay,Great Western,65.21,3,82.0
Newquay,The Silver Jubilee,65.1,3,85.0
Newquay,Carnmarth Hotel,90.93,4,82.0
Newquay,Trevilla,50.7,4,86.0
Torquay,The Imperial,62.84,4,81.0
Torquay,Bahamas Hotel,44.3,4,85.0
Torquay,Trelawney,48.23,4,89.0
Torquay,The Grand,180.76,4,80.0
Torquay,Cranborne Guest Accommodation,55.4,4,88.0
Torquay,Robin Hill,62.61,4,90.0
Torquay,Iona,58.86,4,82.0
Torquay,Ashurst Lodge,55.98,3,82.0
Torquay,Crimdon Dene,68.41,4,97.0
Torquay,Ferndale - Lodge,57.86,4,90.0
Bristol,Mercure Bristol Grand Hotel,89.04,4,82.0
Bristol,Mercure Holland House Bristol,96.69,4,80.0
Bristol,DoubleTree by Hilton Hotel Bristol City Centre,98.0,4,86.0
Bristol,Marriott Bristol City Centre,93.42,4,87.0
Bristol,Novotel Bristol Centre,88.67,4,83.0
Bristol,Mercure Brigstow Bristol,105.86,4,85.0
Bristol,Holiday Inn Bristol City Centre,89.21,4,84.0
Bristol,Radisson Blu Hotel Bristol,103.97,4,86.0
Bristol,Future Inn Bristol,82.65,4,84.0
Bristol,Marriott Royal Bristol,113.1,4,86.0
Salford,Radisson Blu Edwardian Manchester Hotel,201.67,5,87.0
Salford,Ramada Manchester Salford Quays,77.75,4,81.0
Salford,Ascott,66.58,4,81.0
Salford,Holiday Inn Manchester - Mediacityuk,109.63,4,87.0
Salford,Renaissance Manchester,139.06,4,88.0
Salford,Marriott Victoria & Albert,139.16,4,84.0
Salford,DoubleTree by Hilton Hotel Manchester - Piccadilly,138.68,4,87.0
Salford,Crowne Plaza City Centre,131.93,4,90.0
Salford,The Light Hotel,116.25,4,81.0
Salford,The Portland Hotel,92.05,3,81.0
falmouth,The Oasis Guest House,55.61,3,86.0
falmouth,Best Western Penmere Manor,85.29,3,83.0
falmouth,St Michaels Hotel & Spa,110.65,4,85.0
falmouth,Hawthorne Dene,80.42,3,82.0
falmouth,Lyonesse Guest House,85.18,3,96.0
falmouth,Falmouth Beach Hotel,74.68,3,78.0
falmouth,The Royal Duchy,108.48,4,90.0
falmouth,The Grove Hotel - Guest House,84.94,3,89.0
falmouth,Lugo Rock,65.46,4,88.0
falmouth,The Falmouth,99.84,3,81.0
Plymouth,Jurys Inn Plymouth,58.56,3,81.0
Plymouth,Caledonia Guest House,48.98,3,90.0
Plymouth,Future Inn Plymouth,49.47,3,86.0
Plymouth,Holiday Inn Plymouth,84.37,4,79.0
Plymouth,New Continental,72.12,3,82.0
Plymouth,The Caraneal Hotel - Guest house,55.36,3,88.0
Plymouth,Copthorne Hotel Plymouth,67.08,4,78.0
Plymouth,Best Western Duke Of Cornwall,68.45,3,81.0
Plymouth,Barbican Reach Bed & Breakfast - B&B,70.85,3,93.0
Plymouth,Number One,73.85,3,91.0
Penzance,Penzance,95.68,3,88.0
Penzance,Dunedin,75.43,4,94.0
Penzance,Sea Waves B&B,50.2,3,67.0
Penzance,Torwood House,62.38,4,90.0
Penzance,Higher Faugan Parc,99.4,4,89.0
